Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,9359417.47,4.4996291375,-0.504,74.9888164026095,3.99799281163993,,2.88705422168194E-7,0.000104485565705387,1.52954299042357E-5,0.000105599164848639,8.32825910017881,1.47469575129629E-8,7.28727600273196E-11,1.47471375638897E-8,0.283127391021457,1600,25,5,13.4965986394558,0.621359593016433,9.16375856250164E-5,4369,0,4.4941473,4.504847,-0.504,-0.504,,4.5146625,,,,,,,,,,,,,,,,,,,,,,,4.4996291375
,9359455.25,4.498632125,-0.504,85,3.99798566169156,,1.13065594093465E-7,0.000103060022093462,1.62303265240686E-5,0.000104330204892844,8.94967604915686,1.4754189020702E-8,7.87603635400051E-11,1.47543992372942E-8,0.305851684158836,800,25,5,13.4965986394558,0.621359593016433,9.39895211240539E-5,4369,0,4.4937248,4.5034313,-0.504,-0.504,,4.5126125,,,,,,,,,,,,,,,,,,,,,,,4.498632125
,9359491.20,4.499669675,-0.504,100,3.99797327407436,,8.08589377137499E-8,0.000101160812693547,1.70806582641683E-5,0.00010259268449337,9.58380380162076,1.47548343997825E-8,8.79767897669613E-11,1.47550966815045E-8,0.341626268200094,800,25,5,13.4965986394558,0.621359593016433,9.78355764603372E-5,4369,0,4.496057,4.5028458,-0.504,-0.504,,4.5136625,,,,,,,,,,,,,,,,,,,,,,,4.499669675
,9359524.67,4.4975561125,-0.504,115,3.99795887779364,,6.20337361910684E-8,9.95051635278966E-5,1.78454662314426E-5,0.00010109272097303,10.1674583242474,1.47437568691827E-8,-1.77680999594017E-11,1.47437675755876E-8,-0.0690486592956745,800,25,5,13.4965986394558,0.621359593016433,0.000101344472387292,4369,0,4.4951649,4.5010052,-0.504,-0.504,,4.5122625,,,,,,,,,,,,,,,,,,,,,,,4.4975561125
,9359556.20,4.5007956125,-0.504,133.349953401678,3.99793853483172,,5.17188430797031E-8,9.72500088868999E-5,1.8495961214942E-5,9.8993256385305E-5,10.7684634006586,1.47478775871688E-8,-2.34334601106499E-11,1.47478962043123E-8,-0.0910393530095348,800,25,5,13.4965986394558,0.621359593016433,0.000106166397298434,4369,0,4.4948964,4.506814,-0.504,-0.504,,4.5125375,,,,,,,,,,,,,,,,,,,,,,,4.5007956125
,9359587.96,4.498422625,-0.504,150,3.99791747537121,,6.75866219836262E-8,9.58214422386346E-5,1.91729409987754E-5,9.77207780322819E-5,11.3149071318876,1.4755049321086E-8,-2.97706285339547E-11,1.47550793545139E-8,-0.115603073679495,800,25,5,13.4965986394558,0.621359593016433,0.000110354424024197,4369,0,4.4933233,4.5028462,-0.504,-0.504,,4.5117,,,,,,,,,,,,,,,,,,,,,,,4.498422625
,9359618.03,4.49846885,-0.504,177.830382106244,4.00205862923276,,6.10224760187405E-8,9.37369498560788E-5,1.95120572426123E-5,9.57462069544273E-5,11.7586379050788,1.47484183865121E-8,-3.68139680518853E-11,1.47484643326636E-8,-0.143017411121093,400,25,5,13.4965986394558,0.621359593016433,0.000117477758642778,4369,0,4.4942064,4.5042882,-0.504,-0.504,,4.513875,,,,,,,,,,,,,,,,,,,,,,,4.49846885
,9359647.41,4.5008006125,-0.504,200,4.00202120130123,,8.00510386776753E-8,9.20394985894209E-5,1.96331696955416E-5,9.4110204828626E-5,12.0414299544749,1.47487437822373E-8,-4.41402459288741E-11,1.47488098338609E-8,-0.171475095433891,400,25,5,13.4965986394558,0.621359593016433,0.000123428574097616,4369,0,4.4961796,4.5074782,-0.504,-0.504,,4.5155625,,,,,,,,,,,,,,,,,,,,,,,4.5008006125
,9359676.08,4.501514275,-0.504,237.139794967381,4.00194866033216,,7.42670573820799E-8,8.98071259114389E-5,1.99309027351987E-5,9.19921776474119E-5,12.5128559602771,1.47509614462491E-8,-5.67332351900323E-11,1.4751070545852E-8,-0.220362511197607,400,25,5,13.4965986394558,0.621359593016433,0.000133313664524861,4369,0,4.4974003,4.5043292,-0.504,-0.504,,4.5147875,,,,,,,,,,,,,,,,,,,,,,,4.501514275
,9359703.07,4.5042364,-0.504,316.22972972973,4.00175312828405,,1.01550363849872E-7,8.63674062957055E-5,2.0326100592981E-5,8.87269927111443E-5,13.2432592595917,1.47513160747595E-8,-7.93709347188413E-11,1.4751529604849E-8,-0.308282709643152,200,25,5,13.4965986394558,0.621359593016433,0.000153235262354804,4369,0,4.5000973,4.5092039,-0.504,-0.504,,4.5147,,,,,,,,,,,,,,,,,,,,,,,4.5042364
,9359731.21,4.5014733125,-0.504,370,4.00158829809193,,4.17518594202505E-8,8.42676908985326E-5,2.07352252121862E-5,8.67812957610724E-5,13.8237844144,1.47521381992943E-8,-9.46681385245315E-11,1.47524419506578E-8,-0.367676215055951,200,25,5,13.4965986394558,0.621359593016433,0.000166422654361137,4369,0,4.4939013,4.5055914,-0.504,-0.504,,4.5153,,,,,,,,,,,,,,,,,,,,,,,4.5014733125
